date,samsung_f_pe,tsmc_f_pe,forward_ratio,samsung_t_pe,tsmc_t_pe,trailing_ratio
2026-06-12,5.61,21.71,0.26,33.95,36.48,0.93
2026-06-13,5.61,21.71,0.26,33.95,36.48,0.93
